unit_type_id,project_id,project_name,unit_type
2529,1215,Lumpini Park Phetkasem 98,1 Bedroom (22.50 - 35.50 sq.m.)
2530,1216,Lumpini Park Phetkasem 98 Phase 2,1 Bedroom (26.0 sq.m.)
2531,1216,Lumpini Park Phetkasem 98 Phase 2,Studio (22.50 sq.m.)
2532,1216,Lumpini Park Phetkasem 98 Phase 2,2 Bedrooms (35.0 sq.m.)
2533,1217,Lumpini Park Pinklao,1 Bedroom (28.0 - 36.0 sq.m.)
2534,1218,Lumpini Park Rama 9 - Ratchada,1 Bedroom (22.50 - 40.0 sq.m.)
2535,1218,Lumpini Park Rama 9 - Ratchada,2 Bedroom (45.0 sq.m.)
2536,1219,Lumpini Park Rattanathibet - Ngamwongwan,1 Bedroom (22.50 - 36.50 sq.m.)
2537,1219,Lumpini Park Rattanathibet - Ngamwongwan,2 Bedroom (45.0 - 52.0 sq.m.)
2538,1220,Lumpini Park Riverside Rama 3,3 Bedroom (102.50 - 140.0 sq.m.)
2539,1220,Lumpini Park Riverside Rama 3,Studio (26.0 sq.m.)
2540,1220,Lumpini Park Riverside Rama 3,1 Bedroom  (28.0 - 40.0 sq.m.)
2541,1220,Lumpini Park Riverside Rama 3,2 Bedroom (63.50 - 67.50 sq.m.)
2542,1221,Lumpini Park Vibhavadi - Chatuchak,2 Bedrooms (53.0 sq.m.)
2543,1221,Lumpini Park Vibhavadi - Chatuchak,1 Bedroom (28.50 - 33.50 sq.m.)
2544,1221,Lumpini Park Vibhavadi - Chatuchak,Studio (24.0 - 25.0 sq.m.)
2545,1222,Lumpini Park View,1 Bedroom (36.0 sq.m.)
2546,1222,Lumpini Park View,2 Bedroom (140.0 sq.m.)
2547,1223,Lumpini Place Bangna Km.3,1 Bedroom  (26.0 sq.m.)
2548,1223,Lumpini Place Bangna Km.3,Studio (22.50 sq.m.)
