place_type,place_name,link_name,num_rent,num_sale,num_avg,flag
BTS Silom Line,BTS Saint Louis,bts-saint-louis,597,365,481.0,4
Grey Line,Ratchada-Narathiwat Station,ratchada-narathiwat-station,611,345,478.0,4
School,Wat Nimmanoradee,wat-nimmanoradee,775,181,478.0,4
SRT Dark Red Line,Hua Lamphong Station,hua-lamphong-station,621,324,472.5,4
Chiang Mai,ChiangMai Provincial Court,chiangmai-provincial-court,375,569,472.0,4
Chonburi,Muang Chon Buri Chonburi,muang-chon-buri-chonburi,731,213,472.0,4
MRT Purple line,MRT Talad Bang Yai,mrt-talad-bang-yai,768,163,465.5,4
University/College,Siam Technology College,siam-technology-college,666,263,464.5,4
MRT Blue line,MRT Bang Sue,mrt-bang-sue,698,225,461.5,4
School,Srithana Technology College,srithana-technology-college,366,551,458.5,4
Bangkok,Bang Khae,bang-khae,698,204,451.0,4
MRT Orange Line,MRT Yommarat,mrt-yommarat--2,651,245,448.0,4
MRT Orange Line,MRT Rajamangala,mrt-rajamangala,716,162,439.0,4
University/College,Montfort College Primary Section,montfort-college-primary-section,370,472,421.0,4
MRT Yellow Line,MRT Si La Salle,mrt-si-la-salle,684,158,421.0,4
Grey Line,Khlong Dan Station,khlong-dan-station,594,247,420.5,4
University/College,Royal Thai Naval Academy,royal-thai-naval-academy,664,152,408.0,4
MRT Blue line,MRT Bang Wa,mrt-bang-wa,635,170,402.5,4
BTS Sukhumvit Line,BTS Wat Phra Sri Mahathat,bts-wat-phra-sri-mahathat,612,187,399.5,4
MRT Blue line,MRT Bang Khae,mrt-bang-khae,632,142,387.0,4
Bangkok,Bueng Kum,bueng-kum,561,209,385.0,4
Bangkok,Lat Phrao,lat-phrao,564,202,383.0,4
University/College,Rangsit University,rangsit-university,435,330,382.5,4
University/College,Payap University (Kaeo Nawarat Campus),payap-university-kaeo-nawarat-campus,327,435,381.0,4
Chiang Mai,Electricity Authority District 1 Chiang Mai,electricity-authority-district-1-chiang-mai,330,431,380.5,4
Bangkok,Khan Na Yao,khan-na-yao,615,143,379.0,4
University/College,Rajamangala Institute of Technology,rajamangala-institute-of-technology,556,196,376.0,4
Gold Line,Charoen Nakhon Station,charoen-nakhon-station,378,372,375.0,4
Bangkok,Bangkok Yai,bangkok-yai,527,219,373.0,4
Bangkok,Lat Krabang,lat-krabang,457,285,371.0,4
Samut Prakarn,Bang Pu Industrial Estate,bang-pu-industrial-estate,594,144,369.0,4
School,Suankularb Wittayalai School,suankularb-wittayalai-school,470,244,357.0,4
School,Sarasas Wataed Ratchaphruek School,sarasas-wataed-ratchaphruek-school,626,80,353.0,4
School,Streesmutprakan School,streesmutprakan-school,554,143,348.5,4
MRT Purple line,MRT Yaek Tiwanon,mrt-yaek-tiwanon,508,183,345.5,4
MRT Blue line,MRT Sirindhorn,mrt-sirindhorn,571,115,343.0,4
Grey Line,Charoen Rat Station,charoen-rat-station,486,174,330.0,4
Pathumthani,Khlong Luang Pathumthani,khlong-luang-pathumthani,405,250,327.5,4
MRTA Pink Line,Ram Inthra 3 station,ram-inthra-3-station,535,117,326.0,4
School,Pakkret School,pakkret-school,580,72,326.0,4
